Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Public Relations|Group D|Part Time|Married|37|Houston|04/03/2017|Non Active|1|6|1 Year|1 Year|College|Low|Very High|Good|Medium|Better|Walls|Male|80590|Other
Payroll|Group D|Part Time|Divorced|29|Los Angeles|01/12/2013|Non Active|6|13|2 Years|3 Years|Doctor|High|Very High|Excellent|Low|Good|Pierce|Male|98774|White Collar
Media Relations|Group D|Part Time|Divorced|40|Houston|09/08/2018|Active|10|13|3 Years|3 Years|Doctor|High|Low|Low|Medium|Best|Webster|Male|114207|Blue Collar
Legal Department|Group A|Full Time|Divorced|61|Seattle|12/26/2016|Active|10|19|3 Years|3 Years|College|Medium|Medium|Low|High|Bad|Poole|Male|104714|White Collar
Advertising|Group D|Part Time|Divorced|28|New York City|09/07/2013|Non Active|12|19|3 Years|1 Year|Doctor|High|Very High|Excellent|High|Bad|Watson|Female|88496|Blue Collar
Payroll|Group B|Part Time|Married|55|New York City|12/29/2018|Non Active|9|15|1 Year|2 Years|Masters|Very High|Very High|Excellent|High|Good|Greene|Male|87961|Blue Collar
Tech Support|Group D|Part Time|Single|41|Seattle|10/07/2015|Non Active|3|14|1 Year|3 Years|Bachelor|High|Medium|Outstanding|Medium|Bad|Goff|Female|102940|Blue Collar
Legal Department|Group B|Full Time|Divorced|27|Los Angeles|06/06/2016|Active|9|6|2 Years|1 Year|College|Medium|High|Excellent|Very High|Bad|Waters|Female|83617|White Collar
Asset Management|Group D|Part Time|Married|48|Houston|04/18/2018|Non Active|8|16|1 Year|2 Years|Masters|Low|Medium|Excellent|Very High|Bad|Rogers|Male|112122|White Collar
Quality Assurance|Group B|Full Time|Single|54|Seattle|12/17/2013|Active|1|6|1 Year|1 Year|Masters|High|Low|Good|Medium|Bad|Garcia|Female|74992|White Collar
Legal Department|Group B|Full Time|Divorced|33|Los Angeles|11/26/2016|Active|5|11|1 Year|1 Year|Doctor|Very High|Very High|Low|High|Best|Olson|Male|78517|Other
Quality Assurance|Group A|Full Time|Single|51|Los Angeles|04/22/2016|Non Active|5|19|3 Years|2 Years|College|Very High|Medium|Low|High|Best|Bonner|Male|105746|Other
Payroll|Group D|Full Time|Divorced|36|Houston|06/19/2013|Active|5|9|2 Years|1 Year|Doctor|High|Medium|Outstanding|Very High|Best|Santos|Female|108589|White Collar
Customer Relations|Group B|Part Time|Divorced|52|Seattle|03/08/2016|Non Active|5|5|1 Year|2 Years|Masters|Very High|Very High|Low|High|Bad|Garza|Male|89758|Blue Collar
Asset Management|Group D|Full Time|Married|33|Houston|09/09/2014|Active|3|5|1 Year|2 Years|Bachelor|High|Low|Outstanding|Low|Best|Valenzuela|Male|105764|Blue Collar
Tech Support|Group A|Full Time|Divorced|65|Seattle|11/04/2018|Non Active|12|18|2 Years|3 Years|College|Low|Medium|Outstanding|Medium|Bad|Rodriguez|Female|110773|White Collar
Payroll|Group D|Part Time|Divorced|43|Seattle|08/22/2018|Active|3|8|2 Years|2 Years|Bachelor|Very High|Low|Good|Very High|Good|Hooper|Female|111678|Blue Collar
Legal Department|Group A|Part Time|Single|49|Houston|08/31/2015|Non Active|2|12|3 Years|1 Year|Doctor|Medium|Low|Good|Medium|Best|Hawkins|Male|76978|Other
Research and Development|Group C|Part Time|Married|64|Houston|09/21/2015|Active|10|18|2 Years|2 Years|Doctor|Medium|High|Low|Medium|Good|Peck|Male|96688|White Collar
Payroll|Group C|Full Time|Divorced|41|Houston|09/27/2016|Non Active|4|18|3 Years|1 Year|Masters|High|High|Excellent|Medium|Better|Barnes|Male|87965|Other
Customer Relations|Group D|Part Time|Divorced|26|Seattle|08/02/2016|Non Active|10|12|2 Years|1 Year|Masters|Medium|Medium|Excellent|Medium|Good|Parsons|Male|109699|Blue Collar
Sales and Marketing|Group A|Full Time|Single|51|Seattle|12/04/2017|Non Active|2|16|2 Years|2 Years|Doctor|Low|High|Outstanding|Very High|Good|Humphrey|Male|109478|Blue Collar
Public Relations|Group B|Part Time|Divorced|30|Seattle|11/24/2013|Active|4|15|3 Years|1 Year|Doctor|Medium|Very High|Low|Low|Better|Benson|Male|109618|Blue Collar
Customer Relations|Group B|Part Time|Divorced|51|Seattle|03/04/2018|Active|11|10|2 Years|2 Years|Doctor|Medium|High|Outstanding|Very High|Best|Fry|Male|116883|Other
Tech Support|Group D|Full Time|Married|55|New York City|08/04/2013|Non Active|2|5|3 Years|2 Years|Masters|Low|Low|Outstanding|Medium|Good|Thompson|Male|97196|White Collar
Asset Management|Group A|Full Time|Married|34|Los Angeles|05/22/2016|Active|11|19|1 Year|1 Year|College|High|Very High|Good|Very High|Good|Kinney|Female|84117|White Collar
Finances|Group B|Full Time|Married|53|Houston|12/31/2018|Non Active|9|17|3 Years|3 Years|Doctor|High|Very High|Outstanding|Medium|Good|Fisher|Female|105027|Other
Advertising|Group B|Part Time|Divorced|30|Houston|03/02/2016|Active|1|12|3 Years|1 Year|Masters|High|Low|Excellent|Medium|Better|Clarke|Female|107445|Other
Legal Department|Group C|Full Time|Married|60|Houston|12/26/2018|Non Active|11|15|3 Years|2 Years|Doctor|Very High|High|Outstanding|Very High|Best|Palmer|Female|84436|Other
Finances|Group D|Part Time|Divorced|30|Seattle|12/29/2016|Non Active|8|9|1 Year|1 Year|Doctor|Low|Medium|Good|Medium|Better|Jefferson|Female|107706|Other
Customer Service|Group D|Part Time|Single|55|Houston|10/29/2014|Non Active|9|20|2 Years|1 Year|College|Low|Very High|Low|Medium|Bad|Whitney|Male|89750|White Collar
Legal Department|Group C|Part Time|Single|45|Los Angeles|08/07/2017|Non Active|1|16|2 Years|1 Year|Bachelor|Low|High|Outstanding|High|Good|Mendez|Male|72190|Other
Media Relations|Group A|Full Time|Divorced|47|Los Angeles|05/11/2018|Active|8|8|1 Year|2 Years|Masters|Low|Low|Good|Medium|Good|Francis|Female|81015|White Collar
Legal Department|Group C|Full Time|Divorced|37|Seattle|01/23/2013|Active|7|18|2 Years|3 Years|Bachelor|Very High|Low|Good|High|Better|Bowen|Male|70219|Other
Research and Development|Group B|Part Time|Married|25|Seattle|05/01/2016|Non Active|4|11|1 Year|1 Year|Doctor|Low|Very High|Good|Medium|Bad|Robbins|Female|93426|White Collar
Finances|Group A|Full Time|Single|28|Seattle|07/11/2018|Active|8|8|2 Years|1 Year|Bachelor|Very High|Very High|Low|Medium|Bad|Roy|Male|86082|Other
Media Relations|Group D|Full Time|Single|30|Seattle|11/19/2018|Non Active|10|7|3 Years|2 Years|College|Low|Low|Excellent|High|Good|Lewis|Male|101052|Other
Asset Management|Group D|Part Time|Single|30|New York City|01/19/2015|Non Active|2|12|1 Year|3 Years|Doctor|Medium|Medium|Excellent|Very High|Good|Davidson|Female|82965|Blue Collar
Public Relations|Group D|Part Time|Single|34|Seattle|05/11/2016|Non Active|4|10|2 Years|3 Years|Doctor|Medium|Very High|Low|Medium|Good|Cox|Female|75482|Other
Research and Development|Group C|Part Time|Divorced|38|Houston|07/14/2016|Non Active|7|7|2 Years|2 Years|Doctor|Medium|High|Outstanding|Medium|Better|Cochran|Female|118036|Blue Collar
Sales and Marketing|Group C|Part Time|Single|64|Seattle|12/09/2014|Active|4|9|2 Years|2 Years|College|Low|Low|Excellent|Very High|Bad|Jenkins|Male|77350|White Collar
Sales and Marketing|Group D|Full Time|Married|43|Los Angeles|06/06/2015|Active|11|13|2 Years|1 Year|Doctor|Medium|High|Low|Medium|Better|Richards|Female|78211|Blue Collar
Asset Management|Group C|Part Time|Married|47|New York City|03/15/2014|Active|7|18|2 Years|1 Year|College|Very High|High|Excellent|High|Bad|Avery|Male|90293|Other
Quality Assurance|Group A|Full Time|Married|43|Houston|02/04/2015|Non Active|10|9|1 Year|2 Years|Bachelor|Very High|Low|Good|Medium|Better|Ruiz|Female|73383|White Collar
Research and Development|Group B|Full Time|Single|64|Los Angeles|10/20/2017|Active|10|9|2 Years|1 Year|Doctor|High|Medium|Good|Very High|Bad|Langley|Male|79948|Other
Research and Development|Group B|Part Time|Married|52|Seattle|09/23/2013|Non Active|6|6|2 Years|1 Year|College|Very High|Low|Outstanding|Low|Bad|Austin|Male|107084|White Collar
Finances|Group C|Full Time|Married|32|Houston|12/27/2017|Non Active|12|12|1 Year|2 Years|College|High|High|Excellent|High|Best|Mccarthy|Female|102841|Blue Collar
Accounting|Group D|Full Time|Married|56|Houston|11/29/2014|Active|9|11|3 Years|3 Years|Bachelor|Very High|High|Outstanding|Low|Better|Richardson|Female|80329|Other
Advertising|Group B|Part Time|Divorced|26|Los Angeles|04/04/2018|Non Active|11|5|1 Year|3 Years|Masters|Very High|Medium|Excellent|Low|Better|Church|Female|105777|Blue Collar
Asset Management|Group B|Full Time|Divorced|63|Seattle|07/07/2017|Active|7|11|2 Years|3 Years|Doctor|Medium|Low|Outstanding|Medium|Better|Lambert|Male|91966|White Collar
Legal Department|Group C|Full Time|Married|64|Houston|04/04/2018|Non Active|7|16|2 Years|3 Years|Masters|Low|Very High|Good|Low|Good|Harrington|Male|86647|Other
Human Resources|Group D|Part Time|Single|37|New York City|10/27/2015|Active|12|6|3 Years|3 Years|Bachelor|High|Very High|Low|Medium|Best|Kramer|Male|76603|White Collar
Customer Service|Group D|Full Time|Married|34|New York City|08/20/2015|Non Active|12|11|1 Year|2 Years|Bachelor|Low|High|Outstanding|Very High|Better|Barker|Male|77552|Other
Customer Service|Group B|Full Time|Single|48|New York City|08/16/2017|Active|8|5|3 Years|3 Years|Bachelor|Low|High|Outstanding|Low|Good|Knapp|Female|116215|White Collar
Legal Department|Group D|Full Time|Married|31|Seattle|05/29/2018|Active|6|19|1 Year|3 Years|College|Medium|Medium|Excellent|Very High|Good|Weber|Female|119099|Other
Public Relations|Group C|Part Time|Divorced|61|Seattle|05/05/2014|Non Active|12|6|3 Years|3 Years|College|Low|Very High|Outstanding|Medium|Good|English|Female|104891|White Collar
Finances|Group D|Part Time|Married|56|New York City|09/06/2013|Active|11|10|2 Years|2 Years|College|High|High|Excellent|Low|Better|Hartman|Male|75810|White Collar
Accounting|Group A|Full Time|Married|61|New York City|05/29/2016|Active|11|9|1 Year|1 Year|Masters|Low|Very High|Outstanding|Low|Best|Cash|Male|112039|Other
Quality Assurance|Group D|Part Time|Married|38|Houston|02/22/2018|Active|4|18|3 Years|2 Years|Doctor|Medium|Low|Good|High|Bad|Salazar|Male|95132|Other
Customer Relations|Group C|Part Time|Divorced|46|New York City|01/07/2018|Non Active|8|14|1 Year|2 Years|Bachelor|Very High|Very High|Good|High|Better|Hunter|Female|80024|White Collar
Human Resources|Group D|Full Time|Divorced|24|Los Angeles|03/21/2016|Non Active|9|20|2 Years|3 Years|Masters|Low|Low|Excellent|High|Better|Dominguez|Male|98080|Other
Research and Development|Group B|Part Time|Divorced|62|Seattle|03/08/2014|Active|7|12|2 Years|2 Years|College|Low|Low|Good|Low|Good|Jennings|Female|111548|Blue Collar
Sales and Marketing|Group A|Full Time|Married|59|Los Angeles|06/28/2013|Active|7|11|3 Years|1 Year|College|Very High|Low|Good|Very High|Best|Welch|Female|70051|Other
Legal Department|Group A|Part Time|Divorced|42|Los Angeles|10/17/2014|Active|9|18|1 Year|3 Years|Doctor|Low|High|Excellent|Very High|Better|Fernandez|Female|92701|Blue Collar
Legal Department|Group A|Part Time|Divorced|42|Houston|01/25/2013|Active|8|19|2 Years|3 Years|College|Low|Medium|Excellent|Medium|Better|Hood|Female|75899|Other
Finances|Group C|Full Time|Single|63|Los Angeles|08/12/2018|Non Active|9|15|3 Years|3 Years|Doctor|High|High|Low|Medium|Bad|Blake|Male|115130|Other
Human Resources|Group C|Full Time|Single|37|Seattle|10/27/2016|Non Active|3|6|3 Years|3 Years|Bachelor|High|Low|Low|High|Best|Kerr|Female|76464|White Collar
Research and Development|Group A|Full Time|Divorced|50|New York City|05/20/2014|Non Active|6|17|2 Years|3 Years|Bachelor|Very High|Medium|Excellent|Low|Better|Ortega|Female|88928|White Collar
Finances|Group B|Full Time|Divorced|63|New York City|09/30/2013|Active|6|9|3 Years|1 Year|College|Low|High|Excellent|High|Bad|Duran|Male|104052|Blue Collar
Accounting|Group C|Full Time|Divorced|64|New York City|01/02/2013|Non Active|1|20|1 Year|3 Years|Bachelor|Medium|Low|Low|Medium|Better|Valencia|Female|84120|White Collar
Media Relations|Group D|Part Time|Divorced|38|Houston|03/10/2013|Active|3|7|1 Year|2 Years|Doctor|Low|Very High|Low|Very High|Good|Boone|Male|112958|Other
Sales and Marketing|Group A|Full Time|Divorced|27|Houston|12/10/2014|Active|9|16|1 Year|3 Years|College|Low|Low|Good|Very High|Bad|Clemons|Male|70981|Blue Collar
Customer Service|Group A|Full Time|Single|59|New York City|11/22/2015|Active|7|8|1 Year|3 Years|Bachelor|Low|High|Outstanding|High|Good|Newton|Male|81645|Other
Legal Department|Group C|Part Time|Single|46|New York City|03/03/2013|Active|6|11|3 Years|3 Years|Doctor|Very High|High|Good|Low|Best|Rivera|Female|98664|White Collar
Payroll|Group B|Full Time|Divorced|57|Houston|11/05/2015|Active|2|16|1 Year|3 Years|Doctor|Low|Medium|Low|Medium|Bad|Riley|Female|100537|Blue Collar
Accounting|Group B|Part Time|Married|45|Seattle|07/29/2013|Non Active|8|7|2 Years|2 Years|Masters|High|High|Excellent|Very High|Bad|Burt|Female|106692|Other
Quality Assurance|Group C|Full Time|Single|33|Los Angeles|08/20/2015|Active|5|7|1 Year|3 Years|Bachelor|Low|Low|Outstanding|Low|Better|James|Female|79868|Blue Collar
Public Relations|Group D|Part Time|Married|47|Houston|04/27/2013|Active|1|19|1 Year|2 Years|Doctor|High|High|Outstanding|Very High|Good|Whitfield|Female|111195|Blue Collar
Asset Management|Group A|Full Time|Single|50|Houston|07/26/2015|Non Active|9|16|2 Years|3 Years|College|Low|Medium|Excellent|Medium|Good|Jarvis|Male|80980|Other
Advertising|Group B|Full Time|Married|56|Houston|11/12/2015|Non Active|6|11|3 Years|2 Years|Doctor|Medium|Very High|Outstanding|High|Better|Mcguire|Male|82948|Other
Advertising|Group D|Full Time|Married|40|New York City|11/24/2017|Non Active|5|16|1 Year|1 Year|Bachelor|Very High|High|Excellent|Very High|Best|Jensen|Female|77591|White Collar
Public Relations|Group D|Part Time|Divorced|36|Los Angeles|06/11/2016|Active|11|17|2 Years|3 Years|Doctor|Medium|Very High|Good|Medium|Good|Holcomb|Female|72504|White Collar
Customer Service|Group C|Full Time|Divorced|56|New York City|09/07/2015|Active|1|6|2 Years|2 Years|College|High|High|Excellent|Low|Good|Carver|Male|104598|White Collar
Sales and Marketing|Group C|Part Time|Divorced|61|New York City|08/05/2014|Active|7|14|3 Years|1 Year|Doctor|Low|Low|Outstanding|Medium|Good|Benson|Female|93045|Blue Collar
Tech Support|Group D|Part Time|Single|44|New York City|03/24/2016|Non Active|9|9|1 Year|3 Years|Doctor|Medium|Medium|Low|Medium|Bad|Kelley|Male|85447|White Collar
Legal Department|Group A|Full Time|Married|44|New York City|07/23/2017|Non Active|6|17|1 Year|1 Year|Masters|High|Medium|Outstanding|High|Good|Clarke|Male|80845|Other
Human Resources|Group A|Part Time|Married|61|Houston|05/01/2018|Active|10|13|3 Years|3 Years|Masters|Medium|Very High|Good|Very High|Good|Stanley|Male|92016|White Collar
Media Relations|Group A|Part Time|Single|34|Houston|12/15/2016|Active|11|5|3 Years|2 Years|College|Low|Low|Low|Low|Better|Cain|Female|93746|Other
Research and Development|Group D|Part Time|Divorced|63|New York City|06/28/2016|Active|12|11|2 Years|2 Years|College|Low|High|Excellent|Low|Better|Mcfarland|Male|80126|Blue Collar
Tech Support|Group D|Part Time|Divorced|41|New York City|05/05/2015|Non Active|12|16|2 Years|3 Years|Bachelor|High|Very High|Excellent|High|Better|May|Male|100587|Blue Collar
Advertising|Group C|Part Time|Divorced|65|Seattle|11/05/2018|Non Active|11|5|3 Years|2 Years|College|Low|Low|Outstanding|Very High|Good|Patterson|Female|105371|Other
Customer Relations|Group B|Full Time|Divorced|29|Seattle|08/05/2014|Active|6|5|1 Year|2 Years|Doctor|Very High|Low|Low|High|Good|Gates|Female|107353|Other
Human Resources|Group B|Full Time|Married|42|Houston|05/30/2015|Active|10|8|2 Years|3 Years|College|Low|Medium|Low|Very High|Bad|Griffin|Female|95092|White Collar
Sales and Marketing|Group B|Part Time|Divorced|40|New York City|03/03/2017|Non Active|4|8|3 Years|1 Year|College|High|Low|Outstanding|Medium|Best|Burt|Male|71244|Blue Collar
Sales and Marketing|Group B|Full Time|Single|27|Los Angeles|11/06/2017|Non Active|5|11|3 Years|3 Years|Doctor|Low|Very High|Good|High|Good|Henson|Male|115311|Other
Human Resources|Group C|Part Time|Single|53|Houston|04/14/2018|Non Active|3|10|1 Year|3 Years|College|Very High|Low|Outstanding|Very High|Better|Townsend|Male|81445|White Collar
Payroll|Group D|Part Time|Single|43|New York City|01/21/2016|Non Active|5|17|3 Years|1 Year|Bachelor|Low|Very High|Outstanding|Very High|Better|Love|Female|114322|Other
Finances|Group A|Full Time|Single|50|New York City|07/26/2014|Non Active|10|9|3 Years|1 Year|Masters|Medium|High|Good|High|Best|Ellison|Male|95443|White Collar
Advertising|Group B|Part Time|Divorced|30|Seattle|11/18/2018|Non Active|9|7|3 Years|3 Years|College|Very High|Very High|Good|Medium|Best|Richmond|Male|93557|Blue Collar
Customer Service|Group C|Full Time|Divorced|37|Los Angeles|10/03/2018|Active|6|16|1 Year|2 Years|Doctor|Medium|Very High|Excellent|Medium|Best|Winters|Female|73673|Other
Finances|Group A|Full Time|Married|39|Houston|10/26/2014|Non Active|1|10|1 Year|3 Years|Bachelor|Medium|High|Good|High|Better|Cline|Female|74806|White Collar
Customer Service|Group A|Full Time|Married|44|Seattle|04/05/2016|Non Active|7|16|3 Years|3 Years|Doctor|Medium|High|Good|Medium|Bad|Flowers|Male|95275|White Collar
Customer Service|Group A|Part Time|Divorced|55|Houston|09/10/2015|Non Active|5|15|1 Year|1 Year|Doctor|Very High|High|Excellent|Very High|Better|Kaufman|Male|98789|Blue Collar
Payroll|Group A|Full Time|Single|44|New York City|06/10/2017|Active|10|12|1 Year|2 Years|Doctor|High|Medium|Low|Medium|Better|Merritt|Female|110581|Blue Collar
Tech Support|Group C|Part Time|Single|63|Los Angeles|04/03/2013|Non Active|3|13|1 Year|1 Year|Masters|Medium|High|Excellent|Very High|Best|Peterson|Female|97560|White Collar
Asset Management|Group D|Part Time|Single|65|Houston|04/03/2014|Active|5|17|3 Years|3 Years|Doctor|Low|High|Excellent|Low|Best|Bentley|Female|71960|Other
Customer Service|Group B|Full Time|Single|38|Houston|04/29/2014|Non Active|11|13|2 Years|1 Year|Doctor|Very High|Low|Good|Very High|Better|Bush|Male|107538|White Collar
Research and Development|Group C|Full Time|Single|34|New York City|10/01/2016|Non Active|3|8|2 Years|2 Years|College|High|High|Excellent|Medium|Bad|Klein|Female|88074|White Collar
Tech Support|Group D|Part Time|Married|64|Houston|10/17/2014|Active|5|14|2 Years|3 Years|Doctor|Low|Low|Excellent|Very High|Better|Figueroa|Female|114068|Other
Human Resources|Group B|Full Time|Single|47|Seattle|07/01/2016|Non Active|7|5|2 Years|3 Years|Bachelor|High|Low|Good|Medium|Better|Hester|Female|79026|Other
Payroll|Group D|Part Time|Married|65|Houston|07/15/2017|Non Active|8|17|3 Years|1 Year|Doctor|Medium|Low|Outstanding|Very High|Bad|Cantrell|Male|73327|White Collar
Tech Support|Group C|Full Time|Single|49|New York City|06/24/2016|Active|4|17|2 Years|3 Years|Masters|Low|Very High|Excellent|Medium|Better|Huff|Female|75611|White Collar
Asset Management|Group A|Full Time|Married|27|Los Angeles|08/19/2017|Non Active|1|19|2 Years|2 Years|Doctor|Low|Very High|Low|Very High|Good|Conley|Male|103364|Other
Tech Support|Group D|Full Time|Divorced|34|Houston|12/31/2014|Active|12|16|2 Years|3 Years|College|High|Medium|Low|Medium|Good|Barrett|Male|73881|White Collar
